algorithm;stop_threshold;run;iteration;current_coverage;current_active_wp;best_coverage;best_active_wp;elapsed_ms
CompactingSolver;5;4;11;99.95899;46.98722;100.00000;47.00233;5835
CompactingSolver;5;4;12;99.91799;46.96852;100.00000;47.00233;6320
CompactingSolver;5;4;13;99.94533;46.98219;100.00000;47.00233;6808
CompactingSolver;5;4;14;99.89065;46.96205;100.00000;47.00233;7289
CompactingSolver;5;5;0;99.84964;46.94694;99.84964;46.94694;479
CompactingSolver;5;5;1;99.89065;46.96205;99.89065;46.96205;966
CompactingSolver;5;5;2;99.90432;46.96708;99.90432;46.96708;1452
CompactingSolver;5;5;3;99.83598;46.94190;99.90432;46.96708;1942
CompactingSolver;5;5;4;99.91799;46.97212;99.91799;46.97212;2427
CompactingSolver;5;5;5;99.93166;46.97715;99.93166;46.97715;2911
CompactingSolver;5;5;6;99.93166;46.97715;99.93166;46.97715;3393
CompactingSolver;5;5;7;99.95899;46.98722;99.95899;46.98722;3906
CompactingSolver;5;5;8;99.94533;46.98219;99.95899;46.98722;4391
CompactingSolver;5;5;9;99.94533;46.98219;99.95899;46.98722;4880
CompactingSolver;5;5;10;99.87698;46.95701;99.95899;46.98722;5365
CompactingSolver;5;5;11;99.91799;46.97212;99.95899;46.98722;5851
CompactingSolver;10;1;0;99.97266;46.99226;99.97266;46.99226;486
CompactingSolver;10;1;1;99.83598;46.92967;99.97266;46.99226;971
CompactingSolver;10;1;2;99.97266;46.99226;99.97266;46.99226;1458
CompactingSolver;10;1;3;99.84964;46.94694;99.97266;46.99226;1938
CompactingSolver;10;1;4;99.91799;46.97212;99.97266;46.99226;2420
CompactingSolver;10;1;5;99.89065;46.96205;99.97266;46.99226;2923
CompactingSolver;10;1;6;99.86331;46.95197;99.97266;46.99226;3415
CompactingSolver;10;1;7;99.90432;46.96708;99.97266;46.99226;3896
CompactingSolver;10;1;8;99.94533;46.98219;99.97266;46.99226;4378
CompactingSolver;10;1;9;99.91799;46.97212;99.97266;46.99226;4860
