Instance	Number-of-Services	Real-Services	Fake-Services	Number-of-Employees	Total-Agents	Working-Agents	%Working-Agents	Total-Drivers	Total-Managers	Total-RampManagers	Algorithm	Productivity-UT	Real-Productivity-UT	P.UT-Agent	P.UT-Driver	P.UT-RampManager	P.UT-Manager	Work-Productivity	Real-Work-Productivity	WP-Agent	WP-Driver	WP-RampManager	WP-Manager	Execution-Time(ms)	Covered-Services(%)	Covered-Services	Active-Work-Productivity
SPC-0.5-agents0010-timePerDay08-instance0001.json	318	290	28	14	10	10	100,000	2	2	0	randomSolver	74,120	66,394	63,549	71,429	0,000	71,429	48,958	31,101	43,542	62,500	0,000	62,500	9,417	72,013	229	48,958
SPC-0.5-agents0010-timePerDay08-instance0001.json	318	290	28	14	10	10	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	5,060	1,488	2,083	12,500	0,000	12,500	0,847	4,403	14	5,060
SPC-0.5-agents0010-timePerDay08-instance0001.json	318	290	28	14	10	10	100,000	2	2	0	compactingSolver	77,176	70,560	69,552	71,429	0,000	71,429	51,339	33,482	46,875	62,500	0,000	62,500	13,744	77,044	245	51,339
TFS-0.25-agents0050-timePerDay06-instance0003.json	600	497	103	88	50	50	100,000	27	11	0	randomSolver	89,160	82,309	72,197	79,414	0,000	87,137	37,462	15,688	27,611	46,693	0,000	59,578	47,410	100,000	600	37,462
TFS-0.25-agents0050-timePerDay06-instance0003.json	600	497	103	88	50	50	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	7,707	1,578	2,778	10,979	0,000	22,078	8,234	14,500	87	7,707
TFS-0.25-agents0050-timePerDay06-instance0003.json	600	497	103	88	50	40	80,000	27	11	0	compactingSolver	90,185	81,680	44,807	68,954	0,000	83,859	37,462	15,688	27,611	46,693	0,000	59,578	76,029	100,000	600	44,549
TFS-1.0-agents0080-timePerDay06-instance0007.json	2086	1983	103	118	80	80	100,000	27	11	0	randomSolver	84,638	79,032	74,798	79,087	0,000	87,384	50,678	34,440	50,799	46,693	0,000	59,578	598,669	75,072	1566	50,678
TFS-1.0-agents0080-timePerDay06-instance0007.json	2086	1983	103	118	80	80	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	6,453	1,883	2,778	10,979	0,000	22,078	46,830	5,609	117	6,453
TFS-1.0-agents0080-timePerDay06-instance0007.json	2086	1983	103	118	80	80	100,000	27	11	0	compactingSolver	90,759	87,828	81,084	68,924	0,000	86,240	56,492	40,254	59,375	46,693	0,000	59,578	468,636	86,913	1813	58,992
TFS-0.25-agents0050-timePerDay04-instance0009.json	600	497	103	88	50	50	100,000	27	11	0	randomSolver	93,693	90,709	87,599	81,853	0,000	82,313	45,258	23,485	41,333	46,693	0,000	59,578	58,636	99,833	599	45,258
